,year,month,day,price
188,2020,3,13,138.131571406529
189,2020,3,14,136.096163164618
190,2020,3,15,136.209841192925
191,2020,3,16,136.327342011939
192,2020,3,17,136.336152778696
193,2020,3,18,136.32563876652
194,2020,3,19,138.19407952742
195,2020,3,20,138.333502325479
196,2020,3,21,136.246007797185
197,2020,3,22,136.349471365639
198,2020,3,23,136.475538031147
199,2020,3,24,136.521135757869
200,2020,3,25,136.525881057269
201,2020,3,26,138.405590089494
202,2020,3,27,138.622404443857
203,2020,3,28,136.477368339904
204,2020,3,29,136.620674464195
205,2020,3,30,136.827833825279
206,2020,3,31,136.856312091107
207,2020,4,1,137.930832433861
208,2020,4,2,139.784745949521
209,2020,4,3,139.890030198162
210,2020,4,4,137.632987510738
211,2020,4,5,137.684297484249
212,2020,4,6,137.861520498755
213,2020,4,7,137.872469323464
214,2020,4,8,137.816759924219
215,2020,4,9,139.715926374959
216,2020,4,10,139.807331966581
217,2020,4,11,137.569955947137
218,2020,4,12,137.704643580932
219,2020,4,13,137.904328670558
220,2020,4,14,137.912238963785
221,2020,4,15,137.918628984294
222,2020,4,16,139.726605383242
223,2020,4,17,139.75930335097
224,2020,4,18,137.654052863436
225,2020,4,19,137.722580787277
226,2020,4,20,137.892234827624
227,2020,4,21,137.941909901972
228,2020,4,22,137.89807472024
229,2020,4,23,139.672082359684
230,2020,4,24,139.770823228537
231,2020,4,25,137.67964671938
232,2020,4,26,137.786299559471
233,2020,4,27,138.052556223705
234,2020,4,28,138.131789946694
235,2020,4,29,138.06165741475
236,2020,4,30,139.916420542208
237,2020,5,1,140.032496307238
238,2020,5,2,137.874914634415
239,2020,5,3,138.039611376705
240,2020,5,4,138.208834545054
241,2020,5,5,138.218687347155
242,2020,5,6,138.10905726057
243,2020,5,7,139.874374407478
244,2020,5,8,139.927350898468
245,2020,5,9,137.896882916621
246,2020,5,10,138.076931550307
247,2020,5,11,138.322192601732
248,2020,5,12,138.371565797881
249,2020,5,13,138.244150693985
250,2020,5,14,139.978878673634
251,2020,5,15,140.126000396852
252,2020,5,16,138.041459223686
253,2020,5,17,138.305457028926
254,2020,5,18,138.512425644415
255,2020,5,19,138.462292625967
256,2020,5,20,138.245483785689
257,2020,5,21,139.990872814656
258,2020,5,22,140.079572263257
259,2020,5,23,137.90152883641
260,2020,5,24,137.994513364035
261,2020,5,25,138.144106824141
262,2020,5,26,138.147544234625
263,2020,5,27,138.057579163086
264,2020,5,28,139.934553472988
265,2020,5,29,140.033718519825
266,2020,5,30,137.930699396236
267,2020,5,31,137.913301165532
268,2020,6,1,138.197360303191
269,2020,6,2,138.249564815019
270,2020,6,3,138.230092980214
271,2020,6,4,139.990937754945
272,2020,6,5,140.090055126792
273,2020,6,6,138.092455490922
274,2020,6,7,138.219425649615
275,2020,6,8,138.300647976726
276,2020,6,9,138.286564400952
277,2020,6,10,138.178009432715
278,2020,6,11,140.015657735142
279,2020,6,12,140.075776287932
280,2020,6,13,137.981311294766
281,2020,6,14,138.05958965996
282,2020,6,15,138.153210341863
283,2020,6,16,138.185805598413
284,2020,6,17,138.101494313674
285,2020,6,18,139.878586709601
286,2020,6,19,139.976399488288
287,2020,6,20,137.989046590558
288,2020,6,21,138.031671515472
289,2020,6,22,138.14367892092
290,2020,6,23,138.150577448647
291,2020,6,24,138.09572193692
292,2020,6,25,139.986899274387
293,2020,6,26,140.027195729851
294,2020,6,27,137.955499228565
295,2020,6,28,137.977232654501
296,2020,6,29,138.016508342333
297,2020,6,30,138.033369332834
298,2020,7,1,138.162771727148
299,2020,7,2,139.840175694169
300,2020,7,3,139.855462110677
301,2020,7,4,138.001587686608
302,2020,7,5,138.08675617876
303,2020,7,6,138.129059282612
304,2020,7,7,138.140633611852
305,2020,7,8,138.129585537919
306,2020,7,9,139.868549365692
307,2020,7,10,139.918343482482
308,2020,7,11,137.978769373223
309,2020,7,12,138.000330687831
310,2020,7,13,138.112193831434
311,2020,7,14,138.117242443616
312,2020,7,15,138.051390021826
313,2020,7,16,139.849777169836
314,2020,7,17,139.905945945946
315,2020,7,18,137.918013271312
316,2020,7,19,137.922597001764
317,2020,7,20,138.152601410935
318,2020,7,21,138.167372134039
319,2020,7,22,138.105443001697
320,2020,7,23,139.869147950404
321,2020,7,24,139.838944535145
322,2020,7,25,137.893474426808
323,2020,7,26,137.90619695333
324,2020,7,27,138.129541446208
325,2020,7,28,138.174334780979
326,2020,7,29,138.180727938097
327,2020,7,30,139.961037814941
328,2020,7,31,140.039646119225
329,2020,8,1,138.240002645386
330,2020,8,2,138.427362109254
331,2020,8,3,138.499283525495
332,2020,8,4,138.468650793651
333,2020,8,5,138.490807283629
334,2020,8,6,140.262145347041
335,2020,8,7,140.332215505449
336,2020,8,8,138.372324243293
337,2020,8,9,138.440444434647
338,2020,8,10,138.458818342152
339,2020,8,11,138.445081352793
340,2020,8,12,138.49176605454
341,2020,8,13,140.281922873279
342,2020,8,14,140.325868725869
343,2020,8,15,138.341806477215
344,2020,8,16,138.341820987654
345,2020,8,17,138.357344445914
346,2020,8,18,138.371786391498
347,2020,8,19,138.369735855713
348,2020,8,20,140.198848216059
349,2020,8,21,140.289496910856
350,2020,8,22,138.20764328401
351,2020,8,23,138.212022315817
352,2020,8,24,138.266302070699
353,2020,8,25,138.27282349828
354,2020,8,26,138.272669136456
355,2020,8,27,140.15787034994
356,2020,8,28,140.224232661797
357,2020,8,29,138.266875427261
358,2020,8,30,138.244768352114
359,2020,8,31,138.251675928376
1,2020,9,7,124.552152099287
2,2020,9,8,138.342183831415
3,2020,9,9,131.560569705241
4,2020,9,10,131.68318400951
5,2020,9,11,134.021190827588
6,2020,9,12,134.129909898002
7,2020,9,13,131.802152809879
8,2020,9,14,131.828509167749
9,2020,9,15,131.98828916087
10,2020,9,16,132.128467024742
11,2020,9,17,132.163064054589
12,2020,9,18,134.360250225776
13,2020,9,19,134.594638648428
14,2020,9,20,132.20682368479
15,2020,9,21,132.309786915559
16,2020,9,22,132.391625941091
17,2020,9,23,132.423514649878
18,2020,9,24,132.406137184116
19,2020,9,25,134.56657928938
20,2020,9,26,134.702185310834
21,2020,9,27,132.33281236242
22,2020,9,28,132.164487298023
23,2020,9,29,132.361517126002
24,2020,9,30,132.405243577608
360,2020,9,1,138.378063576802
361,2020,9,2,138.377798857294
362,2020,9,3,140.280476768569
363,2020,9,4,140.425992142321
364,2020,9,5,137.097597001764
365,2020,9,6,137.034257748776
366,2020,9,7,137.818459393182
367,2020,9,8,113.319666182874
25,2020,10,1,133.323096904856
26,2020,10,2,135.587709251101
27,2020,10,3,135.775893211155
28,2020,10,4,133.44491646673
29,2020,10,5,133.384784714273
30,2020,10,6,133.511259823453
31,2020,10,7,133.610165760451
32,2020,10,8,133.761111233407
33,2020,10,9,136.072090923107
34,2020,10,10,136.34696799489
35,2020,10,11,133.84307380748
36,2020,10,12,133.64940896784
37,2020,10,13,133.890664553479
38,2020,10,14,133.953331719022
39,2020,10,15,133.938492019813
40,2020,10,16,136.113994316805
41,2020,10,17,136.332114456902
42,2020,10,18,133.810851860004
43,2020,10,19,133.810993462038
44,2020,10,20,133.961014374711
45,2020,10,21,133.949567437867
46,2020,10,22,133.955641166758
47,2020,10,23,136.128114192568
48,2020,10,24,136.357630628249
49,2020,10,25,133.8972287645
50,2020,10,26,133.836536133307
51,2020,10,27,133.895722808022
52,2020,10,28,133.850941111723
53,2020,10,29,134.030269675289
54,2020,10,30,136.485042076045
55,2020,10,31,136.812420143631
56,2020,11,1,134.167639350761
57,2020,11,2,134.007267121779
58,2020,11,3,134.003060932373
59,2020,11,4,134.048267054212
60,2020,11,5,134.031444048091
61,2020,11,6,136.215889312388
62,2020,11,7,136.465797184464
63,2020,11,8,133.862732577342
64,2020,11,9,133.827722118243
65,2020,11,10,133.947041596019
66,2020,11,11,133.963007002246
67,2020,11,12,133.936254541451
68,2020,11,13,136.068097199885
69,2020,11,14,136.283807005948
70,2020,11,15,133.734124537608
71,2020,11,16,133.727887261918
72,2020,11,17,133.818914455576
73,2020,11,18,133.913640867555
74,2020,11,19,133.958119564021
75,2020,11,20,136.128026614378
76,2020,11,21,136.288937360918
77,2020,11,22,134.037036221513
78,2020,11,23,134.095567348557
79,2020,11,24,134.251431339734
80,2020,11,25,135.021848295304
81,2020,11,26,135.228767817409
82,2020,11,27,137.184392630465
83,2020,11,28,137.081052492397
84,2020,11,29,134.549310663789
85,2020,11,30,134.248497126374
86,2020,12,1,135.001211293662
87,2020,12,2,135.23039312851
88,2020,12,3,135.311514404017
89,2020,12,4,137.365826244105
90,2020,12,5,137.45936831897
91,2020,12,6,134.679968287526
92,2020,12,7,134.915712272047
93,2020,12,8,135.095033586609
94,2020,12,9,135.117126244384
95,2020,12,10,134.984649267702
96,2020,12,11,137.008066115702
97,2020,12,12,137.119385551197
98,2020,12,13,134.382113284003
99,2020,12,14,134.320177950051
100,2020,12,15,134.321279126107
101,2020,12,16,134.355599603568
102,2020,12,17,134.424147652189
103,2020,12,18,136.72211203667
104,2020,12,19,137.043461012915
105,2020,12,20,134.982864191005
106,2020,12,21,135.287303405436
107,2020,12,22,135.31783936203
108,2020,12,23,135.852059925094
109,2020,12,24,136.555851884505
110,2020,12,25,138.699468612881
111,2020,12,26,138.941262071703
112,2020,12,27,137.0224102598
113,2020,12,28,137.491472014103
114,2020,12,29,137.907740456669
115,2020,12,30,138.893259541816
116,2020,12,31,141.420873786408
