,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
87,Shared room,Riverdale,Bronx,40.88515,-73.91411,800,2,1,3,269
88,Entire home/apt,Schuylerville,Bronx,40.8390866666667,-73.8334166666667,85.3333333333333,2.33333333333333,47,1,12.3333333333333
89,Private room,Schuylerville,Bronx,40.8342833333333,-73.8338655555556,69.3333333333333,2.22222222222222,18.4444444444444,3.88888888888889,202.222222222222
90,Shared room,Schuylerville,Bronx,40.84034,-73.83007,20,1,116,1,5
91,Entire home/apt,Soundview,Bronx,40.827868,-73.872536,70,1.4,36,1.4,106.4
92,Private room,Soundview,Bronx,40.826447,-73.868601,45.2,2.5,26.1,2,147.3
93,Entire home/apt,Spuyten Duyvil,Bronx,40.8812166666667,-73.9154533333333,186.333333333333,63.3333333333333,20.6666666666667,1,251.333333333333
94,Private room,Spuyten Duyvil,Bronx,40.88071,-73.92074,60,3,8,1,326
95,Entire home/apt,Throgs Neck,Bronx,40.8213454545455,-73.8194181818182,121.545454545455,2,54.0909090909091,1.27272727272727,173.454545454545
96,Private room,Throgs Neck,Bronx,40.8265346153846,-73.8237746153846,65.2307692307692,1.84615384615385,13.3846153846154,3.23076923076923,177.769230769231
97,Entire home/apt,Tremont,Bronx,40.8436766666667,-73.8902666666667,86,1.33333333333333,20,1,95.3333333333333
98,Private room,Tremont,Bronx,40.842705,-73.8914383333333,39,3.16666666666667,25.8333333333333,2.5,119.833333333333
99,Shared room,Tremont,Bronx,40.846605,-73.89251,37.5,1.5,6,1,152
100,Entire home/apt,Unionport,Bronx,40.82825,-73.854275,183.75,2,25.75,1.75,223.75
101,Private room,Unionport,Bronx,40.8283533333333,-73.8500466666667,75,3,0.333333333333333,1,271
102,Entire home/apt,University Heights,Bronx,40.86009,-73.91107,131,3.2,15,1.2,66.2
103,Private room,University Heights,Bronx,40.8575593333333,-73.909816,51.0666666666667,2.53333333333333,46.9333333333333,3.33333333333333,167.333333333333
104,Shared room,University Heights,Bronx,40.85538,-73.91081,40,1,0,1,0
105,Entire home/apt,Van Nest,Bronx,40.843996,-73.865292,216.4,2,34.8,1.8,169.8
106,Private room,Van Nest,Bronx,40.84445,-73.8668633333333,36.6666666666667,11.3333333333333,8.66666666666667,2,197.666666666667
107,Shared room,Van Nest,Bronx,40.8408433333333,-73.8705533333333,20,11.3333333333333,2,4,92.6666666666667
108,Entire home/apt,Wakefield,Bronx,40.8949016666667,-73.8511544444444,139.388888888889,6.11111111111111,24.2777777777778,1.77777777777778,192.277777777778
109,Private room,Wakefield,Bronx,40.8920593548387,-73.8549770967742,55.3225806451613,1.7741935483871,27.1612903225806,1.58064516129032,207.225806451613
110,Shared room,Wakefield,Bronx,40.89685,-73.85382,55,1,0,1,0
111,Entire home/apt,West Farms,Bronx,40.83942,-73.87518,165,2,4,1,310
112,Private room,West Farms,Bronx,40.84328,-73.88173,79,1,3,1,179
113,Entire home/apt,Westchester Square,Bronx,40.83868,-73.844585,221.75,1.5,27.25,1.5,197.75
114,Private room,Westchester Square,Bronx,40.8403633333333,-73.8485783333333,55.8333333333333,2.16666666666667,7.66666666666667,1.66666666666667,134.333333333333
115,Entire home/apt,Williamsbridge,Bronx,40.8778921052632,-73.8595368421053,148.315789473684,5.05263157894737,42.3684210526316,2,273.210526315789
116,Private room,Williamsbridge,Bronx,40.879879047619,-73.856889047619,50.0952380952381,6.61904761904762,15.8571428571429,2.38095238095238,180.333333333333
117,Entire home/apt,Woodlawn,Bronx,40.8997625,-73.8673525,65.5,1.5,64.75,1,172
118,Private room,Woodlawn,Bronx,40.8957883333333,-73.868025,54.8333333333333,1.33333333333333,37.1666666666667,2.16666666666667,65.5
119,Shared room,Woodlawn,Bronx,40.89785,-73.86977,70,2,2,2,0
120,Entire home/apt,Bath Beach,Brooklyn,40.6032485714286,-74.0067957142857,118.142857142857,2,29.4285714285714,1.14285714285714,122.285714285714
121,Private room,Bath Beach,Brooklyn,40.604754,-74.006079,56.3,2.8,15.7,1.8,247.8
122,Entire home/apt,Bay Ridge,Brooklyn,40.6318092647059,-74.0260738235294,220.029411764706,7.75,25.5147058823529,1.22058823529412,142.161764705882
123,Private room,Bay Ridge,Brooklyn,40.6314715384615,-74.026712,74.6307692307692,12.8615384615385,13.4923076923077,1.93846153846154,156.707692307692
124,Shared room,Bay Ridge,Brooklyn,40.6277283333333,-74.0224933333333,56.8333333333333,7.33333333333333,1,8.33333333333333,14.5
125,Entire home/apt,Bedford-Stuyvesant,Brooklyn,40.6861588895899,-73.9399755205047,154.710410094637,5.52870662460568,40.8801261829653,1.59495268138801,119.988643533123
126,Private room,Bedford-Stuyvesant,Brooklyn,40.6879494422507,-73.9396785044423,73.1732477788746,5.79812438302073,21.7003948667325,2.9822309970385,111.15251727542
127,Shared room,Bedford-Stuyvesant,Brooklyn,40.688235,-73.9398775,48.5952380952381,5.86904761904762,18.952380952381,13.0357142857143,184.797619047619
128,Entire home/apt,Bensonhurst,Brooklyn,40.6116020689655,-73.9959513793103,103.103448275862,6.96551724137931,42.1379310344828,1.31034482758621,159.448275862069
129,Private room,Bensonhurst,Brooklyn,40.61271,-73.9928337209302,59.5348837209302,3.69767441860465,14.1395348837209,2.37209302325581,123.46511627907
130,Shared room,Bensonhurst,Brooklyn,40.610795,-73.989115,47,5.5,7.5,4,90
131,Entire home/apt,Bergen Beach,Brooklyn,40.62363,-73.91083625,110.25,6.625,21.875,1.125,150.375
132,Private room,Bergen Beach,Brooklyn,40.622335,-73.902685,92.5,4,15,1,89.5
133,Entire home/apt,Boerum Hill,Brooklyn,40.6865636090226,-73.9858539849624,192.210526315789,8.74436090225564,20.0526315789474,2.3609022556391,82.0902255639098
134,Private room,Boerum Hill,Brooklyn,40.68586275,-73.9843185,87.625,4.95,40.7,1.55,59.25
135,Shared room,Boerum Hill,Brooklyn,40.68473,-73.97863,47,1,0,2,0
136,Entire home/apt,Borough Park,Brooklyn,40.6349157692308,-73.9911553846154,114.653846153846,4.76923076923077,19.6538461538462,1.26923076923077,115.807692307692
137,Private room,Borough Park,Brooklyn,40.637797173913,-73.9989617391304,53.0652173913044,2.56521739130435,17.445652173913,4.70652173913043,166.782608695652
138,Shared room,Borough Park,Brooklyn,40.63864,-73.99578125,35.125,4.25,7.25,5.0625,272.3125
139,Entire home/apt,Brighton Beach,Brooklyn,40.5782477142857,-73.9598268571429,121.628571428571,5.51428571428571,20.6857142857143,1.6,137.514285714286
140,Private room,Brighton Beach,Brooklyn,40.5786790909091,-73.9627039393939,158.272727272727,4.15151515151515,17.3636363636364,2.06060606060606,196.333333333333
141,Shared room,Brighton Beach,Brooklyn,40.5779842857143,-73.96204,59.2857142857143,1.28571428571429,7.14285714285714,2.28571428571429,217.571428571429
